CODES,DATES,high,open,low,close,change,pctchange,volume,turover
600036.SH,2019-05-28 13:30:00,147.474609,147.3573,146.731659,147.279099,-0.195511,-0.132573,5510880.0,189925655.0
600036.SH,2019-05-28 14:00:00,147.67012,147.279099,146.614349,146.614349,-0.664749,-0.451353,5519389.0,190201927.0
600036.SH,2019-05-28 14:30:00,146.614349,146.614349,145.988693,146.418839,-0.195511,-0.13335,4920594.0,168463944.0
600036.SH,2019-05-28 15:00:00,146.80986,146.457947,144.229095,146.80986,0.391022,0.267057,26962427.0,918666756.0
600036.SH,2019-05-29 09:30:00,144.972046,144.972046,144.972046,144.972046,-0.470001,-1.367077,315821.0,10709490.0
600036.SH,2019-05-29 10:00:00,145.988693,144.854736,144.737427,145.441269,0.469223,0.323664,6183432.0,210303974.0
600036.SH,2019-05-29 10:30:00,146.614349,145.441269,145.323959,146.106018,0.664749,0.457057,4168549.0,142419313.0
600036.SH,2019-05-29 11:00:00,146.301529,146.106018,145.284866,145.9496,-0.156418,-0.107058,3605692.0,123080800.0
600036.SH,2019-05-29 11:30:00,146.457947,146.184219,145.910507,146.145111,0.195511,0.133958,2122530.0,72688768.0
600036.SH,2019-05-29 13:30:00,147.005371,146.106018,145.793198,146.92717,0.782059,0.535125,3185720.0,109197967.0
600036.SH,2019-05-29 14:00:00,147.982941,146.92717,146.92717,147.435501,0.508331,0.345975,10003330.0,345859655.0
600036.SH,2019-05-29 14:30:00,147.474609,147.3573,146.653458,146.966263,-0.469238,-0.318267,2717332.0,93627968.0
600036.SH,2019-05-29 15:00:00,147.122681,147.005371,146.106018,146.301529,-0.664734,-0.452304,5380478.0,184830466.0
600036.SH,2019-05-30 09:30:00,146.92717,146.92717,146.92717,146.92717,0.16,0.467153,108721.0,3741090.0
600036.SH,2019-05-30 10:00:00,147.23999,147.005371,145.714981,145.793198,-1.133972,-0.771792,6781737.0,232558601.0
600036.SH,2019-05-30 10:30:00,146.223328,145.832306,145.08934,145.441269,-0.351929,-0.241389,3757689.0,128001018.0
600036.SH,2019-05-30 11:00:00,145.636795,145.402176,145.050247,145.284866,-0.156403,-0.107537,3133620.0,106532214.0
600036.SH,2019-05-30 11:30:00,145.910507,145.167557,144.815628,145.011139,-0.273727,-0.188407,3414502.0,116090661.0
600036.SH,2019-05-30 13:30:00,146.340622,145.011139,145.011139,145.988693,0.977554,0.674124,3444080.0,117669319.0
600036.SH,2019-05-30 14:00:00,146.37973,145.988693,145.714981,146.223328,0.234634,0.160721,2157097.0,73759572.0
600036.SH,2019-05-30 14:30:00,146.731659,146.223328,146.106018,146.731659,0.508331,0.34764,2502121.0,85807000.0
600036.SH,2019-05-30 15:00:00,147.161789,146.731659,146.457947,146.49704,-0.234619,-0.159897,4431197.0,152294262.0
600036.SH,2019-05-31 09:30:00,146.106018,146.106018,146.106018,146.106018,-0.099998,-0.291541,167100.0,5714820.0
600036.SH,2019-05-31 10:00:00,148.061142,146.06691,145.363068,147.552811,1.446793,0.990235,6943461.0,239100898.0
600036.SH,2019-05-31 10:30:00,148.022034,147.474609,147.3573,147.435501,-0.11731,-0.079503,3604100.0,124775636.0
600036.SH,2019-05-31 11:00:00,147.435501,147.435501,146.80986,146.888077,-0.547424,-0.371297,2250221.0,77497931.0
600036.SH,2019-05-31 11:30:00,147.122681,147.083588,146.575241,146.731659,-0.156418,-0.106488,1731634.0,59536353.0
600036.SH,2019-05-31 13:30:00,147.318192,146.80986,146.575241,146.653458,-0.078201,-0.053295,2073162.0,71362250.0
600036.SH,2019-05-31 14:00:00,146.888077,146.653458,145.793198,145.793198,-0.86026,-0.586594,5104855.0,174821272.0
600036.SH,2019-05-31 14:30:00,146.06691,145.754089,145.441269,145.871399,0.078201,0.053639,3559663.0,121368306.0
600036.SH,2019-05-31 15:00:00,147.083588,145.793198,145.636795,146.145111,0.273712,0.187639,5088203.0,174431354.0
600036.SH,2019-06-03 09:30:00,146.301529,146.301529,146.301529,146.301529,0.040001,0.116928,126600.0,4336050.0
600036.SH,2019-06-03 10:00:00,147.865631,146.145111,146.106018,146.92717,0.625641,0.427638,9129793.0,314747685.0
600036.SH,2019-06-03 10:30:00,147.122681,146.92717,145.597687,145.597687,-1.329483,-0.904859,5428200.0,185832311.0
