unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount
1.59709E+12,2020/8/10 20:00,EOS/USDT,3.2063,3.2231,3.1886,3.2149,524958.18,1684592.824,3624
1.59709E+12,2020/8/10 21:00,EOS/USDT,3.2149,3.2192,3.187,3.2111,455137.65,1456354.434,3157
1.5971E+12,2020/8/10 22:00,EOS/USDT,3.2112,3.2736,3.1964,3.2536,677852.01,2197778.926,4447
1.5971E+12,2020/8/10 23:00,EOS/USDT,3.2536,3.2575,3.2275,3.2365,535709.74,1737209.971,3105
1.5971E+12,2020/8/11 0:00,EOS/USDT,3.2366,3.2821,3.232,3.2806,761431.74,2481608.066,5242
1.59711E+12,2020/8/11 1:00,EOS/USDT,3.2806,3.2955,3.2504,3.26,1109772.51,3639452.609,5295
1.59711E+12,2020/8/11 2:00,EOS/USDT,3.26,3.271,3.2175,3.2176,847408.09,2748722.559,4627
1.59711E+12,2020/8/11 3:00,EOS/USDT,3.2184,3.2368,3.1874,3.2112,883439.75,2838773.651,5829
1.59712E+12,2020/8/11 4:00,EOS/USDT,3.2113,3.2208,3.1948,3.204,426027.62,1366633.909,2808
1.59712E+12,2020/8/11 5:00,EOS/USDT,3.2042,3.2086,3.1357,3.1994,801529.55,2550888.018,5687
1.59713E+12,2020/8/11 6:00,EOS/USDT,3.1994,3.1995,3.0954,3.1432,1286138.62,4044557.366,8737
1.59713E+12,2020/8/11 7:00,EOS/USDT,3.1422,3.1655,3.1356,3.153,726895.67,2289130.344,4082
1.59713E+12,2020/8/11 8:00,EOS/USDT,3.153,3.1695,3.116,3.1294,836852.92,2635569.252,5369
1.59714E+12,2020/8/11 9:00,EOS/USDT,3.1296,3.1652,3.1147,3.1166,573079.24,1798718.045,3912
