coin,short_period,long_period,coin_net,strategy_net,is_win
REEF,113,117,2.466530205797743,1.3869777594174233,False
REEF,113,118,2.569592530689874,1.4814565617271034,False
REEF,113,119,2.8591124791586506,1.4691449870220374,False
REEF,113,120,2.4639403150041446,1.3441543530466542,False
REEF,113,121,2.5224893917963227,1.1977468339695676,False
REEF,113,122,2.5160835214446955,1.2085478471652753,False
REEF,113,123,2.541759306767003,1.2238805331900882,False
REEF,113,124,2.6720004794438452,1.3033807421873282,False
REEF,113,125,2.748766954377312,1.3382942051093283,False
REEF,113,126,2.9293692509855456,1.3239652123857057,False
REEF,113,127,2.7063858200801265,1.3571488476049123,False
REEF,113,128,2.6416044555042064,1.4522126851077088,False
REEF,113,129,2.732761262641741,1.4136926415254207,False
REEF,113,130,2.685843373493976,1.2408470811243881,False
REEF,113,131,2.600466608340624,1.2807822467063992,False
REEF,113,132,2.402209051724138,1.2875118980300426,False
REEF,113,133,2.7062215477996965,1.3658398438582628,False
REEF,113,134,2.485367077317576,1.4096145583375914,False
REEF,113,135,2.1538647342995167,1.413505858498634,False
REEF,113,136,2.0727568572756856,1.5257950117219419,False
REEF,113,137,2.1217817541521913,1.5675198460393183,False
REEF,113,138,2.0785547785547784,1.6009535909009014,False
REEF,113,139,2.141553388731447,1.6559191050987156,False
REEF,113,140,2.2075060652572165,1.679529977687125,False
REEF,113,141,2.0591631258082392,1.679529977687125,False
REEF,113,142,2.102867653994906,1.7108574255889173,False
REEF,113,143,1.9014414875469123,1.7758526445562828,False
REEF,113,144,1.9470282545089306,1.856628730068568,False
REEF,113,145,2.083411214953271,1.7866939213690964,False
REEF,113,146,1.9384782608695652,1.6745058874613312,False
REEF,113,147,2.056408837230755,1.5335020282859817,False
REEF,113,148,2.0947660214245443,1.5335020282859817,False
REEF,113,149,2.1900481383240002,1.4139938774084593,False
REEF,113,150,2.0828272446977483,1.4277618170443018,False
REEF,113,151,2.0864336187935795,1.4277618170443018,False
REEF,113,152,2.0669911914696337,1.4120551099744405,False
REEF,113,153,2.0871173111131918,1.5337839987653406,False
REEF,113,154,2.0936839633716833,1.5054355758530578,False
REEF,113,155,2.05498709439528,1.7033025561226374,False
REEF,113,156,2.01961406051821,1.6739831607916635,False
REEF,113,157,1.9707819475754762,1.6667368117086812,False
REEF,113,158,1.978039041703638,0.9320318472187746,False
REEF,113,159,2.0342656385454214,0.9320318472187746,False
REEF,113,160,2.1035621608870017,0.9203335253308904,False
REEF,113,161,1.9990584226337265,0.9203335253308904,False
REEF,113,162,1.9320939504246837,0.9203335253308904,False
REEF,113,163,1.9868538324420675,1.119560043253385,False
REEF,113,164,2.0365887082039102,1.119560043253385,False
REEF,113,165,2.1500217003423834,1.0734423646540254,False
REEF,113,166,2.221142828675335,1.0734423646540254,False
REEF,113,167,2.3612435123397946,1.0599691401635893,False
REEF,113,168,2.324799249139639,1.0599691401635893,False
REEF,113,169,2.2212534874451975,1.12187729888837,False
REEF,113,170,2.322135416666667,1.12187729888837,False
REEF,113,171,2.2449647532729102,1.12187729888837,False
REEF,113,172,2.112933036348988,1.1225768806516636,False
REEF,113,173,2.103066037735849,1.1185361819666766,False
REEF,113,174,2.1881134668237143,1.1185361819666766,False
REEF,113,175,2.317187256379606,1.0839553800151336,False
REEF,113,176,2.3410343922289316,1.063419572088772,False
REEF,113,177,2.439671682626539,1.061174330159228,False
REEF,113,178,2.442344563133388,1.0533817596616788,False
REEF,113,179,2.3648756166127405,1.0842392594330623,False
REEF,113,180,2.388951401168087,1.1525340006011695,False
REEF,113,181,2.400398406374502,1.1430617593482129,False
REEF,113,182,2.310103626943005,1.1316176949790968,False
REEF,113,183,2.2479076333568617,1.0814980298735364,False
REEF,113,184,2.274628845467068,1.0814980298735364,False
REEF,113,185,2.457150730228713,1.1423175027190056,False
REEF,113,186,2.454310249917428,1.0807576875941534,False
REEF,113,187,2.4812176526239638,1.064990139068768,False
REEF,113,188,2.4863372741467766,1.054202761329213,False
REEF,113,189,2.5332386363636363,1.0732473137915657,False
REEF,113,190,2.425206701479547,1.0732473137915657,False
REEF,113,191,2.4525551460476374,1.0864206461322037,False
REEF,113,192,2.387544179072507,1.0767166616725106,False
REEF,113,193,2.475981562725607,1.0497204767237642,False
REEF,113,194,2.1993389897395423,1.0075786064038093,False
REEF,113,195,2.310822017207422,0.9970750747049768,False
REEF,113,196,2.16705550695052,1.0036855729481242,False
REEF,113,197,2.1457791895273846,1.009839522557929,False
REEF,113,198,2.2056495498169584,1.0646466758218711,False
REEF,113,199,2.119965764823356,1.0646466758218711,False
REEF,113,200,2.2430447250591135,1.0644622522735632,False
REEF,113,201,2.304968205552396,1.0711756215890185,False
REEF,113,202,2.245756308870196,1.0584229022094895,False
REEF,113,203,2.316705637828007,1.0945273410267522,False
REEF,113,204,2.334170985812261,1.0588322533038284,False
REEF,113,205,2.235509426393903,1.0807532799699944,False
REEF,113,206,2.187898714299735,0.990232707131916,False
REEF,113,207,2.04134426079392,0.9319566405576314,False
REEF,113,208,2.0469675405169645,0.962495710977363,False
REEF,113,209,2.0492255366089074,0.9293468202321643,False
REEF,113,210,1.7549694941940563,0.9241753566133332,False
REEF,113,211,1.8506911294674357,0.9305650977192929,False
REEF,113,212,1.8993354349493057,0.9649554945919887,False
REEF,113,213,1.8971533126249946,0.9683844536809255,False
REEF,113,214,1.7567674061231728,0.9866636416061613,False
REEF,113,215,1.6212727272727272,1.0048139212949705,False
REEF,113,216,1.5750521072526231,0.9745204857348128,False
REEF,113,217,1.5567931841195572,0.9359106009791422,False
REEF,113,218,1.5481977915132994,0.9962277679949325,False
REEF,113,219,1.550782608695652,1.0044324939286549,False
REEF,113,220,1.4915361969757794,1.0130165003226526,False
REEF,113,221,1.6361467889908257,1.0259170688557773,False
REEF,113,222,1.6707262234879712,0.9968828963991564,False
REEF,113,223,1.6305818673883627,0.9901522729582806,False
REEF,113,224,1.6490365055294598,0.9968922638845864,False
REEF,113,225,1.6095667870036101,0.9588446706117866,False
REEF,113,226,1.6049893804672593,1.0195766226950729,False
REEF,113,227,1.59969143554232,0.9429559237682781,False
REEF,113,228,1.5644957540880062,0.7836045416471951,False
REEF,113,229,1.5591341446356133,0.7668705986659524,False
REEF,113,230,1.4781844705258271,0.7184049644705692,False
REEF,113,231,1.5351904138833414,0.6124034448373893,False
REEF,113,232,1.4766178711002187,0.6124034448373893,False
REEF,113,233,1.6674146377949812,0.7117653166923941,False
REEF,113,234,1.5911848679514633,0.7353398984612438,False
REEF,113,235,1.6386122238965048,0.7332012563733853,False
