stock_id,price,stock_pct,asset_pct_annual_return,asset_wave,macd_nums_-0.002,macd_odds_-0.002,macd_strategy_pct_-0.002,macd_nums_-0.004,macd_odds_-0.004,macd_strategy_pct_-0.004,macd_nums_-0.007,macd_odds_-0.007,macd_strategy_pct_-0.007,macd_nums_-0.01,macd_odds_-0.01,macd_strategy_pct_-0.01,macd_nums_-0.015,macd_odds_-0.015,macd_strategy_pct_-0.015,macd_nums_-0.02,macd_odds_-0.02,macd_strategy_pct_-0.02,macd_nums_-0.05,macd_odds_-0.05,macd_strategy_pct_-0.05,macd_nums_-0.1,macd_odds_-0.1,macd_strategy_pct_-0.1,macd_nums_-0.15,macd_odds_-0.15,macd_strategy_pct_-0.15,macd_nums_-0.2,macd_odds_-0.2,macd_strategy_pct_-0.2
sz.000063,433.5940808,5.446210305945669,0.23598101793761295,12.77488188347723,39,0.027477811838765947,2.383206604081932,40,0.02441118739841177,2.156355921982153,40,0.02441118739841177,2.156355921982153,41,0.022643333041384123,2.052698078800215,45,0.025233674083494466,2.478496987784996,53,0.019980896592456315,2.2766280102118226,66,0.017767943300313747,2.469177032835861,70,0.015787107762491877,2.2629772596074185,70,0.015787107762491877,2.2629772596074185,70,0.015787107762491877,2.2629772596074185
sz.002049,464.62803398,15.246377521435766,0.405710321462849,20.556594351289284,38,0.03016640897899578,2.3056793897507135,38,0.03016640897899578,2.3056793897507135,41,0.026116788783216233,2.1314994550641213,46,0.024093554437094048,2.1480353117868387,48,0.024776216406027774,2.2952457250207314,56,0.018202850430864892,1.8877928120990506,76,0.012127739409986368,1.4905550479403153,83,0.028922945384361475,4.508538974528247,83,0.028922945384361475,4.508538974528247,83,0.028922945384361475,4.508538974528247
sh.600585,187.79165999,3.3246265467964236,0.16203138656810356,3.2156845091693556,30,0.010118670160809688,1.2793397513390554,36,0.010248454177832263,1.3523505793136805,44,0.014764958669826439,1.7362009575070974,49,0.013395482636956111,1.7349973186596024,55,0.019685056087797116,2.586500502952668,62,0.013202913775718353,1.9701715928912764,72,0.011778031329199794,1.9312148258086488,74,0.017116921452140797,2.824246124780042,74,0.017116921452140797,2.824246124780042,74,0.017116921452140797,2.824246124780042
sh.603737,623.7359445,7.049456877260397,0.5056911166747715,23.194519426840067,24,0.03738921037849815,2.055253980298799,25,0.057599147725202006,3.1705121580844975,26,0.054729384562352164,3.1165668622779545,26,0.054729384562352164,3.1165668622779545,30,0.0430261114579835,2.724078634117437,35,0.045758661171270996,3.5653034304784,44,0.040099150564131256,4.043429404518543,46,0.04073941570775853,4.469499240420952,46,0.04073941570775853,4.469499240420952,46,0.04073941570775853,4.469499240420952
sz.000998,139.95653341,1.561212495252161,0.05726231451650876,3.5629120196528765,33,0.014492090281636692,1.3647615831150879,36,0.009898509136171772,1.2030424844889338,41,0.007061918872530054,1.1173553732795216,47,0.009297542443004042,1.228364506232236,56,0.005548551623543789,1.066686959496956,64,0.007886893629761322,1.2592749026354908,76,0.0015771600854965848,0.8321521894002467,80,0.0025772000432532473,0.898363266104513,80,0.0025772000432532473,0.898363266104513,80,0.0025772000432532473,0.898363266104513
sh.601012,1039.20036306,65.6160084448834,0.6870432866221032,47.450384491502845,44,0.05705178844588968,6.370790582635319,45,0.05329805584094123,5.658114584368742,50,0.046610042764700675,5.264565275150826,52,0.05162834309282297,7.288988820970082,55,0.051428595482804595,8.32803759390922,61,0.06063413649179527,16.7785654224354,70,0.04881464459754386,12.348605459840556,75,0.0533351978251056,21.064821058244846,79,0.05067784238953504,19.420332734875412,79,0.05067784238953504,19.420332734875412
sz.000999,39.6899118,1.3664475763881914,0.03979834496354351,0.7344015539735625,42,-0.011231739573873375,0.6031708642432818,47,-0.012174995423569975,0.5431886764981977,50,-0.011626394093074815,0.536968983032751,54,-0.012301334091964159,0.4916087265226835,63,-0.006096316691001001,0.630466904944429,68,-0.004044401506445988,0.6975403683793275,76,-0.003317084796725834,0.7089530166362636,80,0.0008565851657745483,0.9642861588069751,80,0.0008565851657745483,0.9642861588069751,80,0.0008565851657745483,0.9642861588069751
sh.600055,165.2042808,3.312213453944864,0.1614881668833219,6.4221669910256765,36,0.023526806931253967,1.495727260005807,40,0.021490714718737567,1.501541724884638,41,0.019426552609972884,1.4067344828697372,42,0.018332289942724584,1.3694103291613908,43,0.01744032396868342,1.3419916573873034,51,0.03585556723221975,2.9841829919885954,66,0.02257329213622184,1.9522981268259065,73,0.024549174546901507,2.2984309182482687,76,0.024450772121460886,2.2288618362066583,76,0.024450772121460886,2.2288618362066583
sh.603799,180.75476705,8.961565049578581,0.4458336754328611,11.247617542029916,29,0.047746641696669735,2.865699084347366,29,0.047746641696669735,2.865699084347366,32,0.04463938415543484,2.963106658016158,33,0.04892348236977073,3.514287832519164,35,0.04217421701373614,3.044762991056582,37,0.03736647140915314,2.7607380672558204,48,0.04666672021861274,5.191359653478293,54,0.041184671085866924,4.934057517112304,58,0.0479990088536334,8.109856900399933,58,0.0479990088536334,8.109856900399933
sz.002415,1277.3327083,9.197477776019406,0.31964948736444043,47.79565903662408,38,0.03200135549135112,2.847106006065319,44,0.0284630748583326,2.92390342644622,49,0.03136767961775915,3.7622016738130704,54,0.02876062647272855,3.7943427632182964,57,0.03445028825242826,5.526074762499509,61,0.032247656945473796,5.482411109633413,67,0.025221826826186185,4.078638559602546,73,0.027439470367593637,5.468692563814727,73,0.027439470367593637,5.468692563814727,73,0.027439470367593637,5.468692563814727
