coin,time_period,coin_yield,strategy_yield,drawdown,is_win
"LTC,DOT,ETH,ADA",10,"3.109,13.233,4.725,7.418",4.844,81.639,False
"LTC,DOT,EOS,KSM",10,"3.109,13.233,0.807,10.041",1.329,79.385,False
"LTC,DOT,EOS,ADA",10,"3.109,13.233,0.807,7.418",1.329,79.385,False
"LTC,DOT,KSM,ADA",10,"3.109,13.233,10.041,7.418",14.95,76.273,False
"LTC,BNB,BTC,CAKE",10,"3.109,42.908,8.396,1.273",43.233,76.067,False
"LTC,BNB,BTC,FIL",10,"3.109,42.908,8.396,2.601",43.233,76.067,False
"LTC,BNB,BTC,UNI",10,"3.109,42.908,8.396,10.2",43.233,76.067,False
"LTC,BNB,BTC,XRP",10,"3.109,42.908,8.396,3.466",3.382,76.743,False
"LTC,BNB,BTC,ETH",10,"3.109,42.908,8.396,4.725",43.233,76.067,False
"LTC,BNB,BTC,EOS",10,"3.109,42.908,8.396,0.807",43.233,76.067,False
"LTC,BNB,BTC,KSM",10,"3.109,42.908,8.396,10.041",43.233,76.067,False
"LTC,BNB,BTC,ADA",10,"3.109,42.908,8.396,7.418",43.233,76.067,False
"LTC,BNB,CAKE,FIL",10,"3.109,42.908,1.273,2.601",43.233,76.067,False
"LTC,BNB,CAKE,UNI",10,"3.109,42.908,1.273,10.2",43.233,76.067,False
"LTC,BNB,CAKE,XRP",10,"3.109,42.908,1.273,3.466",3.382,76.743,False
"LTC,BNB,CAKE,ETH",10,"3.109,42.908,1.273,4.725",43.233,76.067,False
"LTC,BNB,CAKE,EOS",10,"3.109,42.908,1.273,0.807",43.233,76.067,False
"LTC,BNB,CAKE,KSM",10,"3.109,42.908,1.273,10.041",43.233,76.067,False
"LTC,BNB,CAKE,ADA",10,"3.109,42.908,1.273,7.418",43.233,76.067,False
"LTC,BNB,FIL,UNI",10,"3.109,42.908,2.601,10.2",43.233,76.067,False
"LTC,BNB,FIL,XRP",10,"3.109,42.908,2.601,3.466",3.382,76.743,False
"LTC,BNB,FIL,ETH",10,"3.109,42.908,2.601,4.725",43.233,76.067,False
"LTC,BNB,FIL,EOS",10,"3.109,42.908,2.601,0.807",43.233,76.067,False
"LTC,BNB,FIL,KSM",10,"3.109,42.908,2.601,10.041",43.233,76.067,False
"LTC,BNB,FIL,ADA",10,"3.109,42.908,2.601,7.418",43.233,76.067,False
"LTC,BNB,UNI,XRP",10,"3.109,42.908,10.2,3.466",3.382,76.743,False
"LTC,BNB,UNI,ETH",10,"3.109,42.908,10.2,4.725",43.233,76.067,False
"LTC,BNB,UNI,EOS",10,"3.109,42.908,10.2,0.807",43.233,76.067,False
"LTC,BNB,UNI,KSM",10,"3.109,42.908,10.2,10.041",43.233,76.067,False
"LTC,BNB,UNI,ADA",10,"3.109,42.908,10.2,7.418",43.233,76.067,False
"LTC,BNB,XRP,ETH",10,"3.109,42.908,3.466,4.725",3.382,76.743,False
"LTC,BNB,XRP,EOS",10,"3.109,42.908,3.466,0.807",3.382,76.743,False
"LTC,BNB,XRP,KSM",10,"3.109,42.908,3.466,10.041",3.382,76.743,False
"LTC,BNB,XRP,ADA",10,"3.109,42.908,3.466,7.418",3.382,76.743,False
