time_stamp,open,high,low,close,vol
2019-08-25,3.6607,3.7,3.4638,3.551,2557268.54
2019-08-26,3.5507,3.6936,3.5393,3.5842,2532450.37
2019-08-27,3.5847,3.5947,3.4858,3.5487,1219325.77
2019-08-28,3.5503,3.5609,3.1163,3.254,5842844.14
2019-08-29,3.2544,3.268,3.05,3.1994,3636560.57
2019-08-30,3.1996,3.29,3.1597,3.215,2313507.82
2019-08-31,3.2138,3.4099,3.186,3.3195,2188912.43
2019-09-01,3.3195,3.3399,3.0882,3.2562,2856141.8
2019-09-02,3.2572,3.3798,3.2101,3.319,2981312.68
2019-09-03,3.3188,3.4626,3.2864,3.3498,4785784.48
2019-09-04,3.3511,3.3626,3.265,3.3041,2687490.42
2019-09-05,3.3034,3.3297,3.1935,3.2664,2629192.77
2019-09-06,3.2654,3.3892,3.1,3.2113,5418898.41
2019-09-07,3.2108,3.671,3.1919,3.5612,7785102.96
2019-09-08,3.5601,3.8388,3.5,3.78,9357345.04
2019-09-09,3.7817,3.9497,3.6096,3.8761,11264977.34
2019-09-10,3.8746,3.92,3.652,3.7742,8561940.48
2019-09-11,3.7741,3.8137,3.6425,3.7523,6747120.2
2019-09-12,3.752,3.7887,3.6681,3.7416,3620854.67
2019-09-13,3.7411,3.7486,3.6708,3.7215,3687967.4
2019-09-14,3.7216,4.1,3.6845,4.0209,7865089.48
2019-09-15,4.0211,4.15,4.0,4.0763,5968283.03
2019-09-16,4.0745,4.1494,3.936,4.0827,7717813.73
2019-09-17,4.0816,4.2341,4.017,4.0641,7723520.53
2019-09-18,4.0615,4.1693,4.0449,4.0782,7001976.54
2019-09-19,4.0787,4.0873,3.8053,3.9582,8883092.96
2019-09-20,3.9575,4.038,3.827,4.01,4574181.28
2019-09-21,4.0099,4.0731,3.9526,3.999,4953569.98
2019-09-22,3.9982,4.0075,3.712,3.8122,4716951.93
2019-09-23,3.8122,3.8778,3.6588,3.6923,6158951.67
2019-09-24,3.6906,3.7216,2.4212,2.7622,38228548.58
2019-09-25,2.7625,2.9827,2.6886,2.8663,22387190.17
2019-09-26,2.8689,2.8697,2.5881,2.7812,19015915.91
2019-09-27,2.7815,2.8835,2.686,2.8297,10140083.14
2019-09-28,2.8296,2.8713,2.7737,2.8291,5051505.0
2019-09-29,2.8289,2.8403,2.671,2.7779,4952077.37
2019-09-30,2.7781,3.0335,2.7183,2.9636,8137510.21
2019-10-01,2.9636,3.1213,2.8536,2.9357,9222307.12
2019-10-02,2.9339,3.0394,2.8847,3.0008,4433582.55
2019-10-03,3.0008,3.0143,2.81,2.927,4676899.69
2019-10-04,2.9269,3.0847,2.865,3.0018,5857503.26
2019-10-05,3.0002,3.0396,2.9188,2.9875,4335884.85
2019-10-06,2.9898,2.9978,2.845,2.9058,4576544.17
2019-10-07,2.9067,3.2559,2.8934,3.1759,9853859.27
2019-10-08,3.1765,3.2496,3.1056,3.1577,4984869.86
2019-10-09,3.1568,3.31,3.1096,3.2351,8251520.04
2019-10-10,3.2333,3.2453,3.0244,3.1053,7473057.61
