date,open,high,low,close,volume,amount,turn,pctChg
2011-05-10,9.8775352000,9.9446640800,9.6377892000,9.8679453600,17240886,175619387.6100,0.736896,-1.813000
2011-05-11,9.8199961600,9.9446640800,9.7624571200,9.8775352000,8645493,88816231.7300,0.369519,0.097200
2011-05-12,9.8679453600,9.8679453600,9.6857384000,9.7145079200,7956685,80937768.4600,0.340078,-1.650500
2011-05-16,9.7336876000,9.8583555200,9.7336876000,9.7624571200,5315925,54246988.8200,0.227209,0.493600
2011-05-17,9.7912266400,9.9158945600,9.6857384000,9.8775352000,7956724,81293766.6100,0.340080,1.178800
2011-05-18,9.8775352000,9.9063047200,9.8104063200,9.8871250400,5477093,56310501.9700,0.234097,0.097100
2011-05-19,9.9063047200,10.0405624800,9.8775352000,9.8871250400,8250055,85772111.0400,0.352617,0.000000
2011-05-20,9.8871250400,9.9158945600,9.6953282400,9.7816368000,5410158,55144706.9300,0.231237,-1.066900
2011-05-23,9.7912266400,9.8487656800,9.4939416000,9.4939416000,9308185,93577366.7300,0.397843,-2.941200
2011-05-24,9.5131212800,9.6761485600,9.5035314400,9.6473790400,6538027,65311979.7100,0.279443,1.616200
2011-05-25,9.5898400000,9.7432774400,9.4939416000,9.4939416000,5158323,51612206.3800,0.220473,-1.590500
2011-05-26,9.5898400000,9.6665587200,9.5323009600,9.5323009600,4458402,44595537.4600,0.190557,0.404000
2011-05-27,9.5418908000,9.6473790400,9.5035314400,9.6377892000,6339644,63283086.2800,0.270964,1.106600
2011-05-30,9.6473790400,9.6473790400,9.4843517600,9.5035314400,5439799,54183944.9400,0.232503,-1.393000
2011-05-31,9.5131212800,9.7720469600,9.5035314400,9.7145079200,6158935,61789516.7300,0.263240,2.220000
2011-06-01,9.6665587200,9.7624571200,9.5898400000,9.7432774400,6855381,69271901.1400,0.293007,0.296200
2011-06-02,9.6665587200,9.6953282400,9.4939416000,9.5706603200,6398218,63904478.2800,0.273467,-1.771700
2011-06-03,9.6090196800,9.8008164800,9.5994298400,9.7240977600,6614420,67128264.7300,0.282708,1.603200
2011-06-07,9.6857384000,9.7816368000,9.6857384000,9.7528672800,5800745,58900117.6700,0.247931,0.295900
2011-06-08,9.7528672800,9.9254844000,9.6473790400,9.9063047200,8910289,91193544.7900,0.380836,1.573300
2011-06-09,9.9158945600,9.9158945600,9.5898400000,9.6473790400,6986232,71146460.7800,0.298600,-2.613700
2011-06-10,9.6186095200,10.3186678400,9.5898400000,10.0885116800,23852720,249452614.5700,1.019494,4.572600
2011-06-13,10.0213828000,10.5008748000,9.9638437600,10.3090780000,23459379,251652498.6200,1.002682,2.186300
2011-06-14,10.3282576800,10.4049764000,10.1460507200,10.3282576800,14932792,160069419.4900,0.638245,0.186000
2011-06-15,10.2707186400,10.3474373600,10.1268710400,10.1364608800,10821678,115275502.1000,0.462531,-1.857000
2011-06-16,10.0213828000,10.1364608800,9.8295860000,9.8487656800,7985203,82969732.5500,0.341297,-2.838200
2011-06-17,9.8295860000,10.1364608800,9.7816368000,9.9926132800,10214665,106254992.1700,0.436587,1.460600
2011-06-20,10.0117929600,10.0405624800,9.8104063200,9.8871250400,5862852,60624345.4200,0.250585,-1.055700
2011-06-21,9.9063047200,10.2419491200,9.8967148800,10.1556405600,11135065,117214143.6900,0.475926,2.715800
2011-06-22,10.0789218400,10.2994881600,10.0789218400,10.1652304000,10127555,107650295.6300,0.432864,0.094400
2011-06-23,10.1652304000,10.2994881600,9.9542539200,10.2323592800,8821552,93221759.3800,0.377044,0.660400
2011-06-24,10.2323592800,10.5488240000,10.1652304000,10.4529256000,22065246,239789017.8900,0.943095,2.155600
2011-06-27,10.4816951200,10.8844684000,10.3570272000,10.8077496800,31722302,353505245.1600,1.355849,3.394500
2011-06-28,10.7022614400,10.8269293600,10.5584138400,10.7310309600,23185471,258760194.9300,0.990975,-0.709800
2011-06-29,10.7502106400,10.7885700000,10.4721052800,10.4721052800,13784422,152458620.1500,0.589163,-2.412900
2011-06-30,10.4433357600,10.6926716000,10.4241560800,10.5584138400,9545378,105314554.8200,0.407981,0.824200
2011-07-01,10.5967732000,10.6926716000,10.4625154400,10.4721052800,8920428,98061958.5000,0.381270,-0.817400
2011-07-04,10.5104646400,11.2201128000,10.5104646400,11.0091363200,28287318,322257886.5000,1.209033,5.128200
2011-07-05,11.0474956800,11.2776518400,10.9228277600,11.0187261600,15896749,183511120.6800,0.679446,0.087100
2011-07-06,10.9995464800,11.2584721600,10.9324176000,11.1625737600,18616905,215283147.0700,0.795709,1.305500
2011-07-07,11.1146245600,11.2201128000,11.0570855200,11.0666753600,15947423,185233575.9900,0.681612,-0.859100
2011-07-08,11.0283160000,11.3064213600,10.9803668000,11.2488823200,18471837,215055023.4700,0.789508,1.646443
2011-07-11,11.2297026400,11.4406791200,11.1338042400,11.2776518400,16804906,198997339.6600,0.718262,0.255800
2011-07-12,11.2201128000,11.2201128000,10.9899566400,11.0283160000,13184803,152482129.4900,0.563534,-2.210900
2011-07-13,10.9995464800,11.1433940800,10.9803668000,11.0666753600,9070333,104644154.9400,0.387677,0.347800
2011-07-14,11.1146245600,11.1817534400,10.9803668000,11.0474956800,7865015,90815900.5900,0.336160,-0.173300
2011-07-15,10.9995464800,11.2584721600,10.9420074400,11.0858550400,11306996,131356092.4700,0.483274,0.347200
2011-07-18,11.0762652000,11.5078080000,11.0379058400,11.4886283200,25313136,299748431.9200,1.081913,3.633200
2011-07-19,11.4214994400,11.5461673600,11.2584721600,11.4119096000,16949974,201906563.4600,0.724462,-0.667800
2011-07-20,11.4982181600,11.6037064000,11.3543705600,11.5461673600,16677488,199479466.1700,0.712816,1.176500
2011-07-21,11.5941165600,11.6132962400,11.3543705600,11.3543705600,13069504,156552246.5400,0.558606,-1.661100
2011-07-22,11.4310892800,11.4502689600,11.1050347200,11.2776518400,12359110,144981099.9300,0.528243,-0.675700
2011-07-25,11.2297026400,11.6516556000,11.1242144000,11.1433940800,22531668,268501076.7900,0.963030,-1.190500
2011-07-26,11.1242144000,11.4886283200,11.1050347200,11.4023197600,17274089,204549147.5300,0.738315,2.323600
2011-07-27,11.3543705600,11.6037064000,11.2297026400,11.4982181600,24260643,290904017.8100,1.036929,0.841000
2011-07-28,11.3927299200,11.6132962400,11.0666753600,11.1050347200,20027839,235865687.8500,0.856014,-3.419500
2011-07-29,11.1050347200,11.2009331200,10.6543122400,10.6734919200,17402295,196400727.8600,0.743795,-3.886000
2011-08-01,10.7118512800,10.8077496800,10.4721052800,10.5104646400,12024281,132604787.4200,0.513932,-1.527400
2011-08-02,10.4337459200,10.6830817600,10.4145662400,10.6063630400,9077105,99995127.4500,0.387966,0.912400
2011-08-03,10.5104646400,10.7406208000,10.4529256000,10.7310309600,10311679,114167599.6500,0.440733,1.175400
2011-08-04,10.9803668000,11.2105229600,10.9036480800,11.0379058400,23178088,267086638.2500,0.990659,2.859700
2011-08-05,10.5871833600,11.2776518400,10.5488240000,11.0954448800,20525015,235257234.9500,0.877263,0.521300
2011-08-08,11.0091363200,11.2584721600,10.1844100800,10.4433357600,21297969,238818693.3600,0.910300,-5.877300
2011-08-09,10.0693320000,10.4241560800,9.8295860000,10.3090780000,14444620,152383883.4800,0.617380,-1.285600
2011-08-10,10.4721052800,10.5967732000,10.1652304000,10.2227694400,15674277,170382993.4000,0.669937,-0.837200
2011-08-11,9.9734336000,10.4337459200,9.9254844000,10.3474373600,16273615,173525536.6500,0.695554,1.219500
2011-08-12,10.4433357600,10.4433357600,10.2611288000,10.3570272000,14243345,153987986.4100,0.608777,0.092700
2011-08-15,10.2611288000,10.4912849600,10.2611288000,10.4241560800,12928148,140052198.2800,0.552564,0.648100
2011-08-16,10.4049764000,10.5200544800,10.2707186400,10.2994881600,9043470,98204587.8000,0.386529,-1.196000
2011-08-17,10.2611288000,10.3666170400,10.1652304000,10.2994881600,9399515,100320262.6300,0.401746,0.000000
2011-08-18,10.3378475200,10.5200544800,10.0693320000,10.0789218400,9253810,99291622.0600,0.395519,-2.141500
2011-08-19,9.8775352000,10.0693320000,9.8295860000,9.9926132800,9156848,95035506.9000,0.391375,-0.856300
2011-08-22,9.9542539200,10.7310309600,9.9542539200,10.0597421600,7604213,80538595.5800,0.325013,0.671800
2011-08-23,10.0981015200,10.2227694400,10.0309726400,10.1268710400,3869301,40828083.9100,0.165379,0.667300
2011-08-24,10.1939999200,10.3953865600,10.1364608800,10.1652304000,14600457,155892600.8800,0.624041,0.378800
2011-08-25,10.1748202400,10.3186678400,9.9926132800,10.2707186400,12178210,129488708.2800,0.520511,1.037700
2011-08-26,10.2323592800,10.3282576800,10.1748202400,10.2515389600,7552547,80560233.2100,0.322805,-0.186746
2011-08-29,10.1460507200,10.2515389600,10.0309726400,10.0309726400,6285599,66338744.2400,0.268654,-2.151500
2011-08-30,10.1460507200,10.1652304000,9.8583555200,9.8775352000,7204593,75262454.4000,0.307933,-1.529600
2011-08-31,9.8775352000,9.9638437600,9.5898400000,9.7720469600,7136014,72715451.1200,0.305002,-1.068000
2011-09-01,9.7720469600,9.8583555200,9.6857384000,9.7912266400,4585091,46732017.6200,0.195972,0.196300
2011-09-02,9.7912266400,9.7912266400,9.6377892000,9.6953282400,4349440,44020600.1400,0.185900,-0.979400
2011-09-05,9.5994298400,9.6377892000,9.5418908000,9.5514806400,5455284,54496629.6100,0.233165,-1.483700
2011-09-06,9.5418908000,9.6090196800,9.4843517600,9.4939416000,5639160,56144385.0400,0.241024,-0.602400
2011-09-07,9.5802501600,9.6665587200,9.4843517600,9.6569688800,5490787,54817151.5800,0.234683,1.717200
2011-09-08,9.6857384000,9.7049180800,9.5418908000,9.5418908000,4117091,41282041.2600,0.175969,-1.191657
2011-09-09,9.6665587200,9.7049180800,9.5514806400,9.6186095200,4755669,47650404.3100,0.203263,0.804000
